time,delay,data_value,
183,2021-07-07 13:19:49.863250,351,
184,2021-07-07 13:19:49.863950,700,
185,2021-07-07 13:19:49.913513,49563,
29,2021-07-07 13:19:49.914291,778,
30,2021-07-07 13:19:49.915452,1161,
30,2021-07-07 13:19:49.964240,48788,
199,2021-07-07 13:19:49.965253,1013,
198,2021-07-07 13:19:49.966375,1122,
199,2021-07-07 13:19:50.013992,47617,
255,2021-07-07 13:19:50.014813,821,
0,2021-07-07 13:19:50.015701,888,
0,2021-07-07 13:19:50.064368,48667,
27,2021-07-07 13:19:50.065673,1305,
42,2021-07-07 13:19:50.066944,1271,
59,2021-07-07 13:19:50.114355,47411,
212,2021-07-07 13:19:50.115807,1452,
212,2021-07-07 13:19:50.117105,1298,
210,2021-07-07 13:19:50.162963,45858,
66,2021-07-07 13:19:50.163244,281,
66,2021-07-07 13:19:50.170473,7229,
66,2021-07-07 13:19:50.212708,42235,
32,2021-07-07 13:19:50.212975,267,
32,2021-07-07 13:19:50.213367,392,
30,2021-07-07 13:19:50.262654,49287,
215,2021-07-07 13:19:50.262997,343,
216,2021-07-07 13:19:50.263425,428,
216,2021-07-07 13:19:50.312542,49117,
37,2021-07-07 13:19:50.312852,310,
38,2021-07-07 13:19:50.313349,497,
37,2021-07-07 13:19:50.362691,49342,
233,2021-07-07 13:19:50.362990,299,
234,2021-07-07 13:19:50.363694,704,
235,2021-07-07 13:19:50.414951,51257,
223,2021-07-07 13:19:50.415807,856,
224,2021-07-07 13:19:50.417219,1412,
225,2021-07-07 13:19:50.462949,45730,
27,2021-07-07 13:19:50.463334,385,
29,2021-07-07 13:19:50.463778,444,
29,2021-07-07 13:19:50.512658,48880,
4,2021-07-07 13:19:50.512982,324,
3,2021-07-07 13:19:50.513431,449,
3,2021-07-07 13:19:50.564777,51346,
10,2021-07-07 13:19:50.566341,1564,
11,2021-07-07 13:19:50.567739,1398,
12,2021-07-07 13:19:50.615163,47424,
205,2021-07-07 13:19:50.616581,1418,
205,2021-07-07 13:19:50.621999,5418,
206,2021-07-07 13:19:50.664633,42634,
255,2021-07-07 13:19:50.666210,1577,
0,2021-07-07 13:19:50.667711,1501,
255,2021-07-07 13:19:50.714748,47037,
244,2021-07-07 13:19:50.716282,1534,
243,2021-07-07 13:19:50.717777,1495,
243,2021-07-07 13:19:50.764596,46819,
253,2021-07-07 13:19:50.766195,1599,
254,2021-07-07 13:19:50.767528,1333,
253,2021-07-07 13:19:50.814546,47018,
240,2021-07-07 13:19:50.816100,1554,
238,2021-07-07 13:19:50.817549,1449,
239,2021-07-07 13:19:50.864446,46897,
218,2021-07-07 13:19:50.866067,1621,
218,2021-07-07 13:19:50.867507,1440,
217,2021-07-07 13:19:50.914468,46961,
1,2021-07-07 13:19:50.916035,1567,
0,2021-07-07 13:19:50.917381,1346,
0,2021-07-07 13:19:50.964476,47095,
0,2021-07-07 13:19:50.966092,1616,
0,2021-07-07 13:19:50.967431,1339,
0,2021-07-07 13:19:51.014753,47322,
20,2021-07-07 13:19:51.016289,1536,
20,2021-07-07 13:19:51.017744,1455,
19,2021-07-07 13:19:51.064753,47009,
6,2021-07-07 13:19:51.066582,1829,
4,2021-07-07 13:19:51.067898,1316,
4,2021-07-07 13:19:51.114746,46848,
217,2021-07-07 13:19:51.116323,1577,
218,2021-07-07 13:19:51.117787,1464,
218,2021-07-07 13:19:51.164053,46266,
238,2021-07-07 13:19:51.165185,1132,
238,2021-07-07 13:19:51.166248,1063,
237,2021-07-07 13:19:51.214768,48520,
229,2021-07-07 13:19:51.215978,1210,
229,2021-07-07 13:19:51.217396,1418,
229,2021-07-07 13:19:51.263440,46044,
214,2021-07-07 13:19:51.263872,432,
